T_compute_device,T_d_compute,T_total,exit_location,is_correct,label,prediction,request_id,sample_index,user_id
3.3700473189819604,3.3700473189819604,3.370052087120712,device,True,3,3,9498a677d4244564ad24cacfc346731a,0,1
0.017539629945531487,0.017539629945531487,0.017543117981404066,device,True,8,8,86d7148ae9614a4ca25c8729c213d28e,1,1
0.010103607783094049,0.010103607783094049,0.010105847846716642,device,True,8,8,f677cbe0cc7046e589e21f881429e6ca,2,1
0.010107703041285276,0.010107703041285276,0.01011010305956006,device,False,0,8,bbc27cffef7748d6aa3c8953e844b14a,3,1
0.010091895004734397,0.010091895004734397,0.010094422847032547,device,True,6,6,9007bea79de5486ab587b2d483b3aa2b,4,1
0.017382922116667032,0.017382922116667032,0.017385449958965182,device,True,6,6,1e1924dee74d4a77830d6b0f8a556d61,5,1
0.010060342028737068,0.010060342028737068,0.010062678018584847,device,True,1,1,5c696a183ad640a68d859a0c2dba294f,6,1
0.01737562590278685,0.01737562590278685,0.01737792999483645,device,True,6,6,80b32d6f098e40e9a1ce7014a2d462ea,7,1
0.017403403064236045,0.017403403064236045,0.017405899008736014,device,True,3,3,04f077c831a544f29f2a3ebac3fa99b3,8,1
0.017353449948132038,0.017353449948132038,0.017355593852698803,device,True,1,1,9f0c59ccfdbc4e34a96eb86a664be5fc,9,1
0.01005733385682106,0.01005733385682106,0.010059542022645473,device,True,0,0,d976a91c90fe43e593009d7b4359d9bf,10,1
0.010027989046648145,0.010027989046648145,0.010030101053416729,device,True,9,9,12d1a50f7188418ca91895bfa1091f79,11,1
0.017378377029672265,0.017378377029672265,0.017380584962666035,device,True,5,5,d1fafed454ba46d6b40fa0348af0aa67,12,1
0.017398057971149683,0.017398057971149683,0.017400426091626287,device,True,7,7,89a7117d42f746c8b3cb131d982e9b58,13,1
0.010049334028735757,0.010049334028735757,0.010051861871033907,device,True,9,9,4b829bf08f4a46bfbd2895b7279d5708,14,1
0.01737553020939231,0.01737553020939231,0.017377546057105064,device,True,8,8,596aa12f6b184673ac5e369e91182eee,15,1
0.010122968116775155,0.010122968116775155,0.01012498396448791,device,True,5,5,52acd01dafa44262a5d8135d7f9578c4,16,1
0.017343272920697927,0.017343272920697927,0.017345160944387317,device,True,7,7,7ada9a7bb87541c1baf048076dcbd919,17,1
0.017354697920382023,0.017354697920382023,0.017356521915644407,device,True,8,8,db4f2b4cb4d9477daa846dc7e85ef385,18,1
0.010046038078144193,0.010046038078144193,0.010048502124845982,device,True,6,6,af37bc91d8f0495d9c1ae20884538dc8,19,1
0.017363657942041755,0.017363657942041755,0.01736580184660852,device,True,7,7,118f5f528fbe431f96c3e043fabb4cce,20,1
0.010072982870042324,0.010072982870042324,0.010075062979012728,device,True,0,0,0684a7c9f81a44efa73ac58cb5405dd1,21,1
0.01008299901150167,0.01008299901150167,0.010085015092045069,device,False,4,8,0b8bffdd943447c2883800e5633cf0f8,22,1
0.010027444921433926,0.010027444921433926,0.010029652854427695,device,True,9,9,ecbf53e72260420cbaad2fd3722f64b3,23,1
0.0626362559851259,0.0626362559851259,0.06263952003791928,device,False,5,4,4392e0553c9c416f89e8cddd19fb869a,24,1
0.02242371696047485,0.02242371696047485,0.022426596842706203,device,False,2,5,c719b497dec344ee828a11c975356112,25,1
0.022364995907992125,0.022364995907992125,0.02236768393777311,device,False,4,3,35fe659e7c0f4ec5b175b96c045a9862,26,1
0.017434315057471395,0.017434315057471395,0.01743674697354436,device,True,0,0,1bba5a0f11934e79a35b1fb9d43af92b,27,1
0.010066390968859196,0.010066390968859196,0.010068695060908794,device,True,9,9,69d84a34bc4641d99812721fc2bcceb3,28,1
0.010045493952929974,0.010045493952929974,0.010047829942777753,device,True,6,6,ed342f0707ec459dae3a2b4899e17157,29,1
0.010048629948869348,0.010048629948869348,0.010050901910290122,device,True,6,6,ecfbb97e07a04180b04ad09f59be3402,30,1
0.017346760956570506,0.017346760956570506,0.017349256901070476,device,True,5,5,76975bd1bb444eb09a15ca00ad604893,31,1
0.017397065879777074,0.017397065879777074,0.017399434000253677,device,True,4,4,bc8783739726495b8b31b79edb0589bb,32,1
0.017371978145092726,0.017371978145092726,0.017374346032738686,device,True,5,5,dbb46ccb0d164e8db66ccda22111b19c,33,1
