relative_path,synset,label,source_index,split
train/images/crazing_287.jpg,crazing,0,206,train
train/images/crazing_164.jpg,crazing,0,71,train
train/images/crazing_128.jpg,crazing,0,31,train
train/images/crazing_246.jpg,crazing,0,161,train
train/images/crazing_136.jpg,crazing,0,40,train
train/images/crazing_234.jpg,crazing,0,148,train
train/images/crazing_139.jpg,crazing,0,43,train
train/images/crazing_209.jpg,crazing,0,120,train
train/images/crazing_66.jpg,crazing,0,258,train
train/images/crazing_224.jpg,crazing,0,137,train
train/images/crazing_150.jpg,crazing,0,56,train
train/images/crazing_26.jpg,crazing,0,176,train
train/images/crazing_14.jpg,crazing,0,44,train
train/images/crazing_42.jpg,crazing,0,233,train
train/images/crazing_67.jpg,crazing,0,259,train
train/images/crazing_251.jpg,crazing,0,167,train
train/images/crazing_101.jpg,crazing,0,2,train
train/images/crazing_91.jpg,crazing,0,286,train
train/images/crazing_254.jpg,crazing,0,170,train
train/images/crazing_31.jpg,crazing,0,222,train
train/images/crazing_130.jpg,crazing,0,34,train
train/images/crazing_117.jpg,crazing,0,19,train
train/images/crazing_215.jpg,crazing,0,127,train
train/images/crazing_69.jpg,crazing,0,261,train
train/images/crazing_83.jpg,crazing,0,277,train
train/images/crazing_273.jpg,crazing,0,191,train
train/images/crazing_146.jpg,crazing,0,51,train
train/images/crazing_185.jpg,crazing,0,94,train
train/images/crazing_259.jpg,crazing,0,175,train
train/images/crazing_243.jpg,crazing,0,158,train
train/images/crazing_219.jpg,crazing,0,131,train
train/images/crazing_122.jpg,crazing,0,25,train
train/images/crazing_244.jpg,crazing,0,159,train
train/images/crazing_75.jpg,crazing,0,268,train
train/images/crazing_103.jpg,crazing,0,4,train
train/images/crazing_245.jpg,crazing,0,160,train
train/images/crazing_142.jpg,crazing,0,47,train
train/images/crazing_119.jpg,crazing,0,21,train
train/images/crazing_232.jpg,crazing,0,146,train
train/images/crazing_292.jpg,crazing,0,212,train
train/images/crazing_48.jpg,crazing,0,239,train
train/images/crazing_285.jpg,crazing,0,204,train
train/images/crazing_193.jpg,crazing,0,103,train
train/images/crazing_178.jpg,crazing,0,86,train
train/images/crazing_294.jpg,crazing,0,214,train
train/images/crazing_279.jpg,crazing,0,197,train
train/images/crazing_152.jpg,crazing,0,58,train
train/images/crazing_133.jpg,crazing,0,37,train
train/images/crazing_236.jpg,crazing,0,150,train
train/images/crazing_192.jpg,crazing,0,102,train
train/images/crazing_153.jpg,crazing,0,59,train
train/images/crazing_116.jpg,crazing,0,18,train
train/images/crazing_181.jpg,crazing,0,90,train
train/images/crazing_293.jpg,crazing,0,213,train
train/images/crazing_252.jpg,crazing,0,168,train
train/images/crazing_100.jpg,crazing,0,1,train
train/images/crazing_125.jpg,crazing,0,28,train
train/images/crazing_203.jpg,crazing,0,114,train
train/images/crazing_90.jpg,crazing,0,285,train
train/images/crazing_261.jpg,crazing,0,178,train
train/images/crazing_249.jpg,crazing,0,164,train
train/images/crazing_157.jpg,crazing,0,63,train
train/images/crazing_110.jpg,crazing,0,12,train
train/images/crazing_87.jpg,crazing,0,281,train
train/images/crazing_81.jpg,crazing,0,275,train
train/images/crazing_266.jpg,crazing,0,183,train
train/images/crazing_33.jpg,crazing,0,224,train
train/images/crazing_141.jpg,crazing,0,46,train
train/images/crazing_196.jpg,crazing,0,106,train
