image_id,true_label,pred_label,correct,confidence,entropy,difficulty
0,3,3,True,1.0,4.5818797644869855e-09,easy
1,8,8,True,0.9999995231628418,7.365886176557979e-06,easy
2,8,8,True,0.9982149600982666,0.0134983910247683,easy
3,0,9,False,0.5379413962364197,0.7977170944213867,hard
4,6,6,True,1.0,1.8178615557307154e-10,easy
5,6,6,True,0.999902844429016,0.0010007697856053,easy
6,1,9,False,0.5251635313034058,0.6932566165924072,hard
7,6,2,False,0.9406018257141112,0.228540688753128,easy
8,3,3,True,0.9999905824661256,0.0001185186119982,easy
9,1,1,True,0.9997177720069884,0.0028567775152623,easy
10,0,0,True,0.9999990463256836,1.4517249837808777e-05,easy
11,9,9,True,1.0,4.215569733567737e-12,easy
12,5,5,True,0.9856963157653807,0.0750068426132202,easy
13,7,7,True,0.9999991655349731,1.2425090062606614e-05,easy
14,9,9,True,1.0,1.7057707676904066e-11,easy
15,8,8,True,0.998849868774414,0.0097321420907974,easy
16,5,5,True,0.9999980926513672,2.818089706124738e-05,easy
17,7,7,True,0.999984860420227,0.0001895840541692,easy
18,8,8,True,1.0,2.015649869235858e-09,easy
19,6,6,True,1.0,8.996441636099918e-08,easy
20,7,7,True,0.9999582767486572,0.0004942451487295,easy
21,0,0,True,0.7537904381752014,0.5581365823745728,medium
22,4,4,True,0.5688700079917908,0.9634212255477904,hard
23,9,9,True,1.0,2.3359564066058325e-13,easy
24,5,4,False,0.997256338596344,0.0189753137528896,easy
25,2,5,False,0.8932625651359558,0.4136188924312591,medium
26,4,3,False,0.5354397892951965,1.0752381086349487,hard
27,0,0,True,0.9999972581863404,4.108467692276463e-05,easy
28,9,9,True,0.9999998807907104,2.732342863964732e-06,easy
29,6,6,True,0.9998592138290404,0.0015386844752356,easy
30,6,6,True,0.9999613761901855,0.0004317568964324,easy
31,5,5,True,0.9999990463256836,1.4433127034862991e-05,easy
32,4,4,True,0.9971600770950316,0.0215903911739587,easy
33,5,5,True,0.9971893429756165,0.0237393639981746,easy
34,9,9,True,1.0,3.226822420376862e-10,easy
35,2,8,False,0.9999778270721436,0.0002828321885317,easy
36,4,4,True,0.9999994039535522,9.494520782027394e-06,easy
37,1,1,True,0.949207603931427,0.2008433938026428,easy
38,9,9,True,1.0,2.5645291445997026e-10,easy
39,5,5,True,1.0,1.515056661941308e-13,easy
40,4,4,True,1.0,4.4341242483314496e-11,easy
41,6,6,True,0.9999998807907104,1.3167125416657657e-06,easy
42,5,5,True,0.9999988079071044,1.7696649592835456e-05,easy
43,6,6,True,0.9999349117279052,0.0007260660058818,easy
44,0,0,True,0.9999979734420776,3.084267518715933e-05,easy
45,9,9,True,1.0,2.3402108029202395e-10,easy
