T_compute_device,T_compute_edge,T_compute_s,T_d2e,T_d_compute,T_device_edge_roundtrip,T_e_compute,T_node_edge,T_total,exit_location,is_correct,label,prediction,request_id,sample_index,user_id
0.00010445388033986092,0.13231960008852184,0.13231960008852184,5.330112503841519,0.00010445388033986092,5.464092704001814,0.13231960008852184,0.13398020016029477,5.4642138299532235,edge,True,3,3,3c87dfe706824f378d57bfeba9f0fa55,0,1
9.974883869290352e-05,0.1263428998645395,0.1263428998645395,10.19180655782111,9.974883869290352e-05,10.319914157968014,0.1263428998645395,0.1281076001469046,10.320027474779636,edge,True,8,8,c4740da4b6384f29a41447d3d26005cd,1,1
0.0001036222092807293,0.12561609991826117,0.12561609991826117,5.7941911111120135,0.0001036222092807293,5.92354301107116,0.12561609991826117,0.12935189995914698,5.923659881111234,edge,True,8,8,a4ab3a51449e4074bf7d12d83a722cd5,2,1
7.674004882574081e-05,0.1313086999580264,0.1313086999580264,5.620122482068837,7.674004882574081e-05,5.753957582172006,0.1313086999580264,0.13383510010316968,5.754045553971082,edge,False,0,9,adca1584472e4fb080df58fd0255bc99,3,1
7.824413478374481e-05,0.13078020000830293,0.13078020000830293,6.937252001138404,7.824413478374481e-05,7.072942500934005,0.13078020000830293,0.13569049979560077,7.073032394051552,edge,True,6,6,0776c9c9fd624139964d2252a57f43f7,4,1
7.91400671005249e-05,0.13913419982418418,0.13913419982418418,5.7226183488965034,7.91400671005249e-05,5.863787648966536,0.13913419982418418,0.14116930007003248,5.863879238953814,edge,True,6,6,2a501c96776e409bb644be14d8876429,5,1
7.552397437393665e-05,0.12813770002685487,0.12813770002685487,7.012035290710628,7.552397437393665e-05,7.142290090909228,0.12813770002685487,0.1302548001985997,7.142378190997988,edge,False,1,9,eb67b8fedc5d4d0fb60beb57c457e94c,6,1
7.616402581334114e-05,0.12816759990528226,0.12816759990528226,7.293249445036054,7.616402581334114e-05,7.4233932450879365,0.12816759990528226,0.13014380005188286,7.423481601988897,edge,False,6,2,cdec9e731b9f4d8aa81fd5c8a0b66ddd,7,1
8.131703361868858e-05,0.13005660008639097,0.13005660008639097,5.9575114629697055,8.131703361868858e-05,6.090378663036972,0.13005660008639097,0.13286720006726682,6.090473868185654,edge,True,3,3,b0860ce8e3a74aaea4d9f4593373a928,8,1
8.934899233281612e-05,0.1424949001520872,0.1424949001520872,7.421835316112265,8.934899233281612e-05,7.566674816189334,0.1424949001520872,0.1448395000770688,7.56677664606832,edge,True,1,1,97e721a16c95457e805b64238942ed1b,9,1
