image_id, true_label, pred_label, correct, confidence         , difficulty, exit_layer, transmitted_to_cloud
       0,          3,          3, True   , 1.0                , easy      ,        128, True
       1,          8,          8, True   , 0.9999995231628418 , easy      ,        128, True
       2,          8,          8, True   , 0.9982149600982666 , easy      ,        128, True
       3,          0,          9, False  , 0.5379413962364197 , hard      ,        128, True
       4,          6,          6, True   , 1.0                , easy      ,        128, True
       5,          6,          6, True   , 0.9999028444290161 , easy      ,        128, True
       6,          1,          9, False  , 0.5251635313034058 , hard      ,        128, True
       7,          6,          2, False  , 0.9406018257141113 , easy      ,        128, True
       8,          3,          3, True   , 0.9999905824661255 , easy      ,        128, True
       9,          1,          1, True   , 0.9997177720069885 , easy      ,        128, True
      10,          0,          0, True   , 0.9999990463256836 , easy      ,        128, True
      11,          9,          9, True   , 1.0                , easy      ,        128, True
      12,          5,          5, True   , 0.9856963157653809 , easy      ,        128, True
      13,          7,          7, True   , 0.9999991655349731 , easy      ,        128, True
      14,          9,          9, True   , 1.0                , easy      ,        128, True
      15,          8,          8, True   , 0.9988498687744141 , easy      ,        128, True
      16,          5,          5, True   , 0.9999980926513672 , easy      ,        128, True
      17,          7,          7, True   , 0.999984860420227  , easy      ,        128, True
      18,          8,          8, True   , 1.0                , easy      ,        128, True
      19,          6,          6, True   , 1.0                , easy      ,        128, True
      20,          7,          7, True   , 0.9999582767486572 , easy      ,        128, True
      21,          0,          0, True   , 0.7537904381752014 , medium    ,        128, True
      22,          4,          4, True   , 0.5688700079917908 , hard      ,        128, True
      23,          9,          9, True   , 1.0                , easy      ,        128, True
      24,          5,          4, False  , 0.997256338596344  , easy      ,        128, True
      25,          2,          5, False  , 0.8932625651359558 , medium    ,        128, True
      26,          4,          3, False  , 0.5354397892951965 , hard      ,        128, True
      27,          0,          0, True   , 0.9999972581863403 , easy      ,        128, True
      28,          9,          9, True   , 0.9999998807907104 , easy      ,        128, True
      29,          6,          6, True   , 0.9998592138290405 , easy      ,        128, True
      30,          6,          6, True   , 0.9999613761901855 , easy      ,        128, True
      31,          5,          5, True   , 0.9999990463256836 , easy      ,        128, True
      32,          4,          4, True   , 0.9971600770950317 , easy      ,        128, True
      33,          5,          5, True   , 0.9971893429756165 , easy      ,        128, True
      34,          9,          9, True   , 1.0                , easy      ,        128, True
      35,          2,          8, False  , 0.9999778270721436 , easy      ,        128, True
      36,          4,          4, True   , 0.9999994039535522 , easy      ,        128, True
      37,          1,          1, True   , 0.949207603931427  , easy      ,        128, True
      38,          9,          9, True   , 1.0                , easy      ,        128, True
      39,          5,          5, True   , 1.0                , easy      ,        128, True
      40,          4,          4, True   , 1.0                , easy      ,        128, True
      41,          6,          6, True   , 0.9999998807907104 , easy      ,        128, True
      42,          5,          5, True   , 0.9999988079071045 , easy      ,        128, True
      43,          6,          6, True   , 0.9999349117279053 , easy      ,        128, True
      44,          0,          0, True   , 0.9999979734420776 , easy      ,        128, True
      45,          9,          9, True   , 1.0                , easy      ,        128, True
      46,          3,          3, True   , 0.9998132586479187 , easy      ,        128, True
      47,          9,          8, False  , 0.9443982243537903 , easy      ,        128, True
      48,          7,          7, True   , 0.9999998807907104 , easy      ,        128, True
      49,          6,          2, False  , 0.4277305006980896 , hard      ,        128, True
      50,          9,          9, True   , 0.9999959468841553 , easy      ,        128, True
      51,          8,          8, True   , 1.0                , easy      ,        128, True
      52,          0,          0, True   , 0.8794519901275635 , medium    ,        128, True
      53,          3,          3, True   , 0.9403663873672485 , easy      ,        128, True
      54,          8,          8, True   , 1.0                , easy      ,        128, True
      55,          8,          8, True   , 1.0                , easy      ,        128, True
      56,          7,          7, True   , 0.9999998807907104 , easy      ,        128, True
      57,          7,          3, False  , 0.9866880774497986 , easy      ,        128, True
      58,          4,          5, False  , 0.615906834602356  , medium    ,        128, True
      59,          6,          3, False  , 0.9922448992729187 , easy      ,        128, True
      60,          7,          7, True   , 1.0                , easy      ,        128, True
      61,          3,          5, False  , 0.9743829369544983 , easy      ,        128, True
      62,          6,          6, True   , 0.9997828602790833 , easy      ,        128, True
      63,          3,          3, True   , 0.9999517202377319 , easy      ,        128, True
      64,          6,          6, True   , 0.9998592138290405 , easy      ,        128, True
      65,          2,          2, True   , 0.9997164607048035 , easy      ,        128, True
      66,          1,          1, True   , 1.0                , easy      ,        128, True
      67,          2,          2, True   , 0.9999994039535522 , easy      ,        128, True
      68,          3,          3, True   , 0.9935085773468018 , easy      ,        128, True
      69,          7,          7, True   , 0.923011302947998  , easy      ,        128, True
      70,          2,          2, True   , 0.9589513540267944 , easy      ,        128, True
      71,          6,          6, True   , 0.9999799728393555 , easy      ,        128, True
      72,          8,          8, True   , 1.0                , easy      ,        128, True
      73,          8,          8, True   , 1.0                , easy      ,        128, True
      74,          0,          0, True   , 0.8685598969459534 , medium    ,        128, True
      75,          2,          2, True   , 1.0                , easy      ,        128, True
      76,          9,          9, True   , 0.9999998807907104 , easy      ,        128, True
      77,          3,          3, True   , 0.9991902709007263 , easy      ,        128, True
      78,          3,          5, False  , 0.9739610552787781 , easy      ,        128, True
      79,          8,          8, True   , 1.0                , easy      ,        128, True
      80,          8,          8, True   , 1.0                , easy      ,        128, True
      81,          1,          1, True   , 0.8876387476921082 , medium    ,        128, True
      82,          1,          1, True   , 1.0                , easy      ,        128, True
      83,          7,          7, True   , 0.999769389629364  , easy      ,        128, True
      84,          2,          2, True   , 0.9999004602432251 , easy      ,        128, True
      85,          5,          7, False  , 0.5255506634712219 , hard      ,        128, True
      86,          2,          2, True   , 0.8907175064086914 , medium    ,        128, True
      87,          7,          7, True   , 0.9978125095367432 , easy      ,        128, True
      88,          8,          8, True   , 1.0                , easy      ,        128, True
      89,          9,          9, True   , 1.0                , easy      ,        128, True
      90,          0,          0, True   , 0.9999995231628418 , easy      ,        128, True
      91,          3,          3, True   , 0.9999631643295288 , easy      ,        128, True
      92,          8,          8, True   , 1.0                , easy      ,        128, True
      93,          6,          6, True   , 1.0                , easy      ,        128, True
      94,          4,          4, True   , 0.9999393224716187 , easy      ,        128, True
      95,          6,          3, False  , 0.9996731281280518 , easy      ,        128, True
      96,          6,          6, True   , 0.5254995822906494 , hard      ,        128, True
      97,          0,          0, True   , 0.5696656703948975 , hard      ,        128, True
      98,          0,          0, True   , 0.9999998807907104 , easy      ,        128, True
      99,          7,          7, True   , 0.9999691247940063 , easy      ,        128, True
     100,          4,          4, True   , 0.9703953862190247 , easy      ,        128, True
     101,          5,          5, True   , 0.9802175760269165 , easy      ,        128, True
     102,          6,          6, True   , 1.0                , easy      ,        128, True
     103,          3,          3, True   , 0.9997590184211731 , easy      ,        128, True
     104,          1,          1, True   , 1.0                , easy      ,        128, True
     105,          1,          1, True   , 1.0                , easy      ,        128, True
     106,          3,          3, True   , 0.9999746084213257 , easy      ,        128, True
     107,          6,          6, True   , 1.0                , easy      ,        128, True
     108,          8,          8, True   , 1.0                , easy      ,        128, True
     109,          7,          7, True   , 0.9929794669151306 , easy      ,        128, True
     110,          4,          4, True   , 0.9999997615814209 , easy      ,        128, True
     111,          0,          0, True   , 0.9999996423721313 , easy      ,        128, True
     112,          6,          2, False  , 0.6561164259910583 , medium    ,        128, True
     113,          2,          2, True   , 0.9999998807907104 , easy      ,        128, True
